Phthalate,I,BAE79498|Nocardioides_aromaticivorans|Car,,,,,,,,,,,,
Phthalate,I,GCFA|Nocardioides_Aromaticivorans_Ic177|Car,,,,,,,,,,,,
Phthalate,I,YP_003072827|Teredinibacter_turnerae_T7901|Non,,,,,,,,,,,,
Phthalate,I,BAH60853|bacterium_OC11S|Car,,,,,,,,,,,,
Phthalate,I,BAH60846|bacterium_OC9|Car,,,,,,,,,,,,
Phthalate,I,BAH60859|bacterium_OC13S|Car,,,,,,,,,,,,
Phthalate,I,BAH57734|Lysobacter_sp_OC7|Car,,,,,,,,,,,,
Phthalate,I,YP_008374321|Cycloclasticus_zancles_7-ME|Non,,,,,,,,,,,,
Phthalate,I,YP_717942|Sphingomonas_sp_KA1|Car,,,,,,,,,,,,
Phthalate,I,3GKQ_A|Novosphingobium_sp_Ka1|Car,,,,,,,,,,,,
Phthalate,I,YP_717981|Sphingomonas_sp_KA1|Car,,,,,,,,,,,,
Phthalate,I,ADC31794|Sphingomonas_sp_XLDN2-5|Car,,,,,,,,,,,,
Phthalate,I,ACH98389|Sphingomonas_sp_JS1|Non,,,,,,,,,,,,
Phthalate,I,ACO92627|Burkholderia_sp_JS667|Dpa,,,,,,,,,,,,
Phthalate,I,BAC56726|Pseudomonas_sp_K23|Car,,,,,,,,,,,,
Phthalate,I,BAA31266|Pseudomonas_stutzeri|Car,,,,,,,,,,,,
Phthalate,I,BAC56742|Janthinobacterium_sp_J3|Car,,,,,,,,,,,,
Phthalate,I,BAG30826|Neptuniibacter_sp_CAR-SF|Car,,,,,,,,,,,,
Phthalate,I,WP_016835782|Herbaspirillum_lusitanum|Non,,,,,,,,,,,,
Phthalate,I,YP_008374316|Cycloclasticus_zancles_7-ME|Non,,,,,,,,,,,,
Phthalate,II,ZP_06831264|Rhodococcus_equi_ATCC_33707|Non,,,,,,,,,,,,
Phthalate,II,WP_018419822|Burkholderia_sp|Non,,,,,,,,,,,,
Phthalate,II,YP_003607636|Burkholderia_sp_CCGE1002|Non,,,,,,,,,,,,
Phthalate,II,YP_933465|Azoarcus_sp_BH72|Non,,,,,,,,,,,,
Phthalate,II,CAA73203|Pseudomonas_putida|Odm,,,,,,,,,,,,
Phthalate,II,WP_009868029|Pseudomonas_sp_Chol1|Non,,,,,,,,,,,,
Phthalate,II,YP_004685601|Cupriavidus_necator_N-1|Non,,,,,,,,,,,,
Phthalate,II,ZP_03264709|Burkholderia_sp_H160|Non,,,,,,,,,,,,
Phthalate,II,YP_284577|Dechloromonas_aromatica_RCB|Non,,,,,,,,,,,,
Phthalate,II,YP_743284|Alkalilimnicola_ehrlichii_MLHE-1|Non,,,,,,,,,,,,
Phthalate,II,WP_010325233|Marinobacterium_stanieri|Non,,,,,,,,,,,,
Phthalate,II,YP_960483|Marinobacter_aquaeolei_VT8|Non,,,,,,,,,,,,
Phthalate,II,YP_692391|Alcanivorax_borkumensis_SK2|Non,,,,,,,,,,,,
Phthalate,II,ZP_06846198|Burkholderia_sp_Ch1-1|Non,,,,,,,,,,,,
Phthalate,II,YP_692392|Alcanivorax_borkumensis_SK2|Non,,,,,,,,,,,,
Phthalate,IV,WP_020865871|Streptomyces_rapamycinicus|Non,,,,,,,,,,,,
Phthalate,IV,WP_020134935|Streptomyces_sp_351MFTsu5_1|Non,,,,,,,,,,,,
Phthalate,IV,WP_007731634|Rhodococcus_qingshengii|Non,,,,,,,,,,,,
Phthalate,IV,WP_004993270|Streptomyces_ghanaensis|Non,,,,,,,,,,,,
Phthalate,III,YP_716305|Frankia_alni_ACN14a|Non,,,,,,,,,,,,
Phthalate,III,ZP_06414243|Frankia_sp_EUN1f|Non,,,,,,,,,,,,
Phthalate,V,YP_923333|Nocardioides_sp_JS614|Non,,,,,,,,,,,,
Phthalate,VI,YP_718166|Sphingomonas_sp_KA1|Non,,,,,,,,,,,,
Phthalate,VI,WP_017183313|Sphingobium_xenophagum|Non,,,,,,,,,,,,
Phthalate,VI,WP_007436449|Acetobacteraceae_bacterium_AT-5844|Non,,,,,,,,,,,,
Phthalate,VI,ZP_01014538|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,VI,ZP_01015822|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,VI,WP_008250861|gamma_proteobacterium_BDW918|Non,,,,,,,,,,,,
Phthalate,VI,YP_004487047|Delftia_sp_Cs1-4|Non,,,,,,,,,,,,
Phthalate,VI,YP_997682|Verminephrobacter_eiseniae_EF01-2|Non,,,,,,,,,,,,
Phthalate,VI,YP_001628854|Bordetella_petrii_DSM_12804|Non,,,,,,,,,,,,
Phthalate,VI,YP_973790|Polaromonas_naphthalenivorans_CJ2|Non,,,,,,,,,,,,
Phthalate,VI,ZP_03542790|Comamonas_testosteroni_KF-1|Non,,,,,,,,,,,,
Phthalate,VI,YP_548741|Polaromonas_sp_JS666|Non,,,,,,,,,,,,
Phthalate,VI,Q05183|Pseudomonas_putida|Pht,,,,,,,,,,,,
Phthalate,VI,ZP_02886121|Burkholderia_graminis_C4D1M|Non,,,,,,,,,,,,
Phthalate,VI,YP_003277530|Comamonas_testosteroni_CNB-2|Non,,,,,,,,,,,,
Phthalate,VI,YP_002979846|Ralstonia_pickettii_12D|Non,,,,,,,,,,,,
Phthalate,VI,YP_001116718|Burkholderia_vietnamiensis_G4|Pht,,,,,,,,,,,,
Phthalate,VI,ZP_03265346|Burkholderia_sp_H160|Non,,,,,,,,,,,,
Phthalate,VII,YP_006667511|Gordonia_sp_KTR9|Non,,,,,,,,,,,,
Phthalate,VII,ZP_01011465|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,VII,YP_001861033|Burkholderia_phymatum_STM815|Non,,,,,,,,,,,,
Phthalate,VII,ZP_01011482|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,VII,YP_001861032|Burkholderia_phymatum_STM815|Non,,,,,,,,,,,,
Phthalate,VII,WP_006159374|Cupriavidus_basilensis|Non,,,,,,,,,,,,
Phthalate,VII,ZP_01011464|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,VII,AAT99362|Sphingomonas_sp_tfd44|Non,,,,,,,,,,,,
Phthalate,VIII,YP_001535493|Salinispora_arenicola_CNS-205|Non,,,,,,,,,,,,
Phthalate,VIII,ZP_03265564|Burkholderia_sp_H160|Non,,,,,,,,,,,,
Phthalate,VIII,ZP_03265572|Burkholderia_sp_H160|Non,,,,,,,,,,,,
Phthalate,VIII,WP_017776283|Burkholderia_kururiensis|Non,,,,,,,,,,,,
Phthalate,VIII,YP_298987|Ralstonia_eutropha_JMP134|Non,,,,,,,,,,,,
Phthalate,VIII,ZP_03266801|Burkholderia_sp_H160|Non,,,,,,,,,,,,
Phthalate,VIII,WP_017522619|Pusillimonas_noertemannii|Non,,,,,,,,,,,,
Phthalate,VIII,WP_009516788|Hydrogenophaga_sp_PBC|Non,,,,,,,,,,,,
Phthalate,VIII,WP_004865178|Acinetobacter_gerneri|Non,,,,,,,,,,,,
Phthalate,X,YP_004333721|Pseudonocardia_dioxanivorans|Non,,,,,,,,,,,,
Phthalate,X,YP_004333941|Pseudonocardia_dioxanivorans_CB1190|Non,,,,,,,,,,,,
Phthalate,X,YP_004331506|Pseudonocardia_dioxanivorans_CB1190|Non,,,,,,,,,,,,
Phthalate,X,WP_017953881|SAR202_cluster_bacterium_SCGC_AAA240-N13|Non,,,,,,,,,,,,
Phthalate,X,WP_017727527|Bacillus_sp_L1|Non,,,,,,,,,,,,
Phthalate,IX,WP_018706724|Bacillus_fordii|Non,,,,,,,,,,,,
Phthalate,IX,WP_004432420|Bacillus_azotoformans|Non,,,,,,,,,,,,
Phthalate,IX,WP_020617219|Paenibacillus_daejeonensis|Non,,,,,,,,,,,,
Phthalate,IX,YP_003608170|Burkholderia_sp_CCGE1002|Non,,,,,,,,,,,,
Phthalate,IX,YP_299968|Ralstonia_eutropha_JMP134|Non,,,,,,,,,,,,
Phthalate,IX,YP_004835044|Sphingobium_sp_SYK-6|Non,,,,,,,,,,,,
Phthalate,XVI,ZP_01015537|Maritimibacter_alkaliphilus_HTCC2654|Non,,,,,,,,,,,,
Phthalate,XVI,YP_007511744|Bradyrhizobium_oligotrophicum_S58|Non,,,,,,,,,,,,
Phthalate,XVI,YP_557502|Burkholderia_xenovorans_LB400|Non,,,,,,,,,,,,
Phthalate,XVI,YP_552969|Burkholderia_xenovorans_LB400|Non,,,,,,,,,,,,
Phthalate,XVI,YP_587676|Cupriavidus_metallidurans_CH34|Non,,,,,,,,,,,,
Phthalate,XVII,YP_293484|Ralstonia_eutropha_JMP134|Non,,,,,,,,,,,,
Phthalate,XVII,NP_891306|Bordetella_bronchiseptica_RB50|Non,,,,,,,,,,,,
Phthalate,XI,YP_004833890|Sphingobium_sp_SYK-6|Non,,,,,,,,,,,,
Phthalate,XI,Q44256|Comamonas_testosteroni|3CB,,,,,,,,,,,,
Phthalate,XI,WP_017181781|Sphingobium_xenophagum|Non,,,,,,,,,,,,
Phthalate,XI,YP_557510|Burkholderia_xenovorans_LB400|Non,,,,,,,,,,,,
Phthalate,XI,YP_557507|Burkholderia_xenovorans_LB400|Non,,,,,,,,,,,,
Phthalate,XI,WP_008973084|Bradyrhizobium_sp_STM_3843|Non,,,,,,,,,,,,
Phthalate,XI,EPZ52966|Alicyclobacillus_acidoterrestris_ATCC_49025|Non,,,,,,,,,,,,
Phthalate,XI,EPZ52963|Alicyclobacillus_acidoterrestris_ATCC_49025|Non,,,,,,,,,,,,
Phthalate,XIV,YP_001893469|Burkholderia_phytofirmans_PsJN|Non,,,,,,,,,,,,
Phthalate,XIII,ZP_03542656|Comamonas_testosteroni_KF-1|Non,,,,,,,,,,,,
Phthalate,XIII,NP_767578|Bradyrhizobium_japonicum_USDA_110|Non,,,,,,,,,,,,
Phthalate,XII,WP_017934576|Nocardioides_sp_Iso805N|Non,,,,,,,,,,,,
Phthalate,XV,WP_016835789|Herbaspirillum_lusitanum|Non,,,,,,,,,,,,
Phthalate,XV,WP_017727780|Bacillus_sp_L1|Non,,,,,,,,,,,,
Phthalate,XV,WP_017727651|Bacillus_sp_L1|Non,,,,,,,,,,,,
Phthalate,XV,WP_007296704|Rhodococcus_imtechensis|Non,,,,,,,,,,,,
